bikeID,Age,Gender,TripDuration,StartStation,EndStation
22777,35,MALE,00:10:46,9 Ave & W 45 St,W 27 St & 7 Ave
21954,39,MALE,00:18:44,E 24 St & Park Ave S,W 49 St & 8 Ave
17582,59,FEMALE,00:22:48,W 44 St & 5 Ave,E 20 St & 2 Ave
17185,39,MALE,00:09:53,Bedford Ave & Nassau Ave,Broadway & Berry St
15599,57,FEMALE,00:20:38,Grand Army Plaza & Central Park S,Lexington Ave & E 29 St
17178,34,MALE,00:24:48,Allen St & Rivington St,St James Pl & Oliver St
23340,33,FEMALE,00:24:36,Allen St & Rivington St,St James Pl & Oliver St
23732,41,MALE,00:13:19,W 52 St & 9 Ave,W 20 St & 7 Ave
22658,40,MALE,00:08:53,Lafayette St & E 8 St,E 9 St & Avenue C
23689,68,FEMALE,00:09:30,Little West St & 1 Pl,South End Ave & Liberty St
23451,71,MALE,00:08:59,Little West St & 1 Pl,South End Ave & Liberty St
18158,44,MALE,00:21:48,E 4 St & 2 Ave,W 52 St & 9 Ave
19546,51,MALE,00:09:22,W 17 St & 8 Ave,W 37 St & 10 Ave
16870,65,MALE,00:28:00,W 20 St & 7 Ave,Riverside Dr & W 72 St
17970,57,FEMALE,00:12:12,Broadway & W 32 St,Sullivan St & Washington Sq
15258,60,MALE,00:11:43,Broadway & W 32 St,Sullivan St & Washington Sq
22669,45,MALE,00:22:50,Wythe Ave & Metropolitan Ave,Macon St & Nostrand Ave
23932,38,MALE,00:10:51,E 25 St & 2 Ave,Suffolk St & Stanton St
23762,48,MALE,00:21:27,E 84 St & Park Ave,W 37 St & 5 Ave
22067,42,FEMALE,00:21:10,E 84 St & Park Ave,W 37 St & 5 Ave
17187,36,MALE,00:10:11,9 Ave & W 45 St,W 22 St & 8 Ave
21062,66,MALE,00:24:06,Madison St & Montgomery St,Cherry St
15350,35,MALE,00:18:05,Division Ave & Hooper St,Fulton St & Grand Ave
16301,43,MALE,00:09:04,Greenwich St & N Moore St,Bank St & Hudson St
22112,50,MALE,00:11:48,E 52 St & 2 Ave,E 84 St & 1 Ave
23926,46,FEMALE,00:18:56,West St & Chambers St,W 22 St & 10 Ave
16849,33,FEMALE,00:09:03,Stanton St & Chrystie St,Howard St & Centre St
18850,39,MALE,00:09:37,E 33 St & 5 Ave,1 Ave & E 15 St
19850,28,MALE,00:13:48,FDR Drive & E 35 St,W 56 St & 6 Ave
24054,34,MALE,00:11:45,Broadway & W 29 St,E 6 St & Avenue B
19886,32,MALE,00:08:25,W 13 St & 6 Ave,E 19 St & 3 Ave
22141,44,MALE,00:16:22,Canal St & Rutgers St,Avenue D & E 12 St
16333,63,MALE,00:09:00,5 Ave & E 29 St,E 11 St & 2 Ave
23535,40,MALE,00:13:12,W 17 St & 8 Ave,W 38 St & 8 Ave
20183,70,MALE,00:11:24,W 42 St & 8 Ave,9 Ave & W 22 St
23439,33,MALE,00:21:34,W 13 St & Hudson St,W 52 St & 9 Ave
21535,68,FEMALE,00:25:33,Allen St & E Houston St,Little West St & 1 Pl
19804,63,MALE,00:14:13,W 29 St & 9 Ave,W 63 St & Broadway
22764,30,MALE,00:11:26,W 52 St & 11 Ave,W 42 St & 8 Ave
23301,36,MALE,00:19:47,Carmine St & 6 Ave,St Marks Pl & 1 Ave
17504,44,MALE,00:08:50,1 Ave & E 30 St,W 33 St & 7 Ave
23538,32,FEMALE,00:13:00,E 17 St & Broadway,E 47 St & 1 Ave
18860,32,MALE,00:09:34,Lexington Ave & E 24 St,Lafayette St & Jersey St
16614,50,FEMALE,00:34:18,Howard St & Centre St,Franklin Ave & Myrtle Ave
21992,52,MALE,00:08:49,W 49 St & 8 Ave,Columbus Ave & W 72 St
14799,34,MALE,00:08:53,9 Ave & W 16 St,8 Ave & W 33 St
22501,48,MALE,00:19:28,Barrow St & Hudson St,W 26 St & 8 Ave
24255,38,MALE,00:10:37,W 52 St & 5 Ave,Lexington Ave & E 29 St
19606,35,MALE,00:20:12,1 Ave & E 30 St,E 84 St & 1 Ave
18042,60,MALE,00:21:39,E 11 St & 1 Ave,1 Ave & E 62 St
22311,48,MALE,00:36:48,E 75 St & 3 Ave,W 39 St & 9 Ave
23941,34,MALE,00:12:26,E 20 St & 2 Ave,Suffolk St & Stanton St
23710,58,MALE,00:29:40,Broadway & E 14 St,Wythe Ave & Metropolitan Ave
22881,60,MALE,00:19:21,Central Park West & W 76 St,Broadway & E 22 St
14540,75,MALE,00:14:12,E 16 St & Irving Pl,E 10 St & 5 Ave
15640,70,MALE,00:09:41,11 Ave & W 27 St,W 43 St & 10 Ave
19524,67,MALE,00:16:59,W 11 St & 6 Ave,W 25 St & 6 Ave
17416,39,MALE,00:15:14,W 84 St & Columbus Ave,5 Ave & E 63 St
23246,32,MALE,00:09:34,E 6 St & Avenue B,1 Ave & E 30 St
19542,34,MALE,00:10:43,E 25 St & 2 Ave,Allen St & Rivington St
22333,35,FEMALE,00:11:10,E 20 St & 2 Ave,Suffolk St & Stanton St
21348,31,MALE,00:11:33,W 13 St & 6 Ave,E 14 St & Avenue B
23468,50,FEMALE,00:19:13,W 13 St & Hudson St,Greenwich St & Warren St
22677,63,MALE,00:20:52,Watts St & Greenwich St,E 6 St & Avenue D
24119,37,MALE,00:13:18,Warren St & Church St,Suffolk St & Stanton St
22648,46,FEMALE,00:10:01,Leonard St & Grand St,Willoughby Ave & Tompkins Ave
23180,66,MALE,00:15:43,W 84 St & Broadway,W 52 St & 9 Ave
24156,42,MALE,00:16:25,Fulton St & Clermont Ave,Fulton St & Utica Ave
24219,43,FEMALE,00:09:44,Lafayette St & E 8 St,E 9 St & Avenue C
20220,33,MALE,00:15:12,E 16 St & Irving Pl,E 2 St & Avenue B
23785,39,MALE,00:10:53,Henry St & Atlantic Ave,Washington Ave & Park Ave
20163,32,MALE,00:08:36,Madison St & Clinton St,Cherry St
16426,39,FEMALE,00:16:32,Broadway & Berry St,Leonard St & Meeker Ave
